headline,section,locations,word_count,snippet,source,subjects,url,date,type,id
"FURNITURE SALES OFF, KNOLL IS REGROUPING",Home and Garden; Style,[],800,"LEAD: HIT by a severe slump in the demand for office furniture, Knoll International, the New York-based designer and manufacturer of modern furniture for offices and homes, is undergoing a restructuring that so far has cost an estimated 200 jobs a...",The New York Times,"[u'LABOR', u'MERGERS, ACQUISITIONS AND DIVESTITURES', u'LAYOFFS (LABOR)', u'STOCKS AND BONDS']",http://www.nytimes.com/1987/01/01/garden/furniture-sales-off-knoll-is-regrouping.html,1/1/87,News,4fd164e08eb7c8105d651485
STOCKS: UP YEAR ENDS ON DOWN NOTE,Business,[],724,LEAD: The stock market finished a banner year yesterday on a weak note....,The New York Times,"[u'STOCKS AND BONDS', u'DOW JONES STOCK AVERAGE', u'STOCK PRICES AND TRADING VOLUME']",http://www.nytimes.com/1987/01/01/business/stocks-up-year-ends-on-down-note.html,1/1/87,News,4fd165c78eb7c8105d652c89
European Anger At 'Ramboism',Business,"[u'EUROPE, WEST', u'UNITED STATES']",858,LEAD: WILL the new year bring a trade war?...,The New York Times,"[u'INTERNATIONAL TRADE AND WORLD MARKET', u'PROTECTIONISM (TRADE)', u'CUSTOMS (TARIFF)']",http://www.nytimes.com/1987/01/02/business/economic-scene-european-anger-at-ramboism.html,1/2/87,News,4fd164e88eb7c8105d651a75
Top Performers Are a Diverse Lot,Business,[u'UNITED STATES'],852,"LEAD: In a year that saw equity market indexes set record highs, the common stocks that showed the best percentage gains on the New York Stock Exchange had little in common. None of the big-capitalization blue chips that surged ahead and grabbed t...",The New York Times,"[u'STOCKS AND BONDS', u'DOW JONES STOCK AVERAGE', u'STOCK PRICES AND TRADING VOLUME']",http://www.nytimes.com/1987/01/02/business/wall-street-in-1986-top-performers-are-a-diverse-lot.html,1/2/87,News,4fd165ce8eb7c8105d6531d4
STOCK STRENGTH PREDICTED...,Business,[u'UNITED STATES'],1643,"LEAD: On Aug. 13, 1982, with the nation stumbling out of a recession, the Federal Reserve Board used its vast powers over interest rates to try to bring the economy out of its slump, and in doing so touched off the Great Bull Market of the 1980's....",The New York Times,"[u'INTEREST (MONEY)', u'FORECASTS', u'CREDIT', u'STOCKS AND BONDS']",http://www.nytimes.com/1987/01/02/business/stock-strength-predicted.html,1/2/87,News,4fd15b818eb7c8105d641a2d
"BUSINESS DIGEST: FRIDAY, JANUARY 2, 1987",Business,[],350,LEAD: International...,The New York Times,[],http://www.nytimes.com/1987/01/02/business/business-digest-friday-january-2-1987.html,1/2/87,Summary,4fd165ce8eb7c8105d6531e9
Investment Banks Bet With Their Own Money,Business,[],560,LEAD: THE outlook for the economy in 1987 looks all-too-familiar: another sluggish year with worries about too much debt and too little growth to drive the unemployment rate much below today's 6.9 percent....,The New York Times,"[u'INDUSTRY PROFILES', u'FORECASTS', u'STOCKS AND BONDS', u'BANKS AND BANKING']",http://www.nytimes.com/1987/01/04/business/how-industries-will-fare-in-1987-investment-banks-bet-with-their-own-money.html,1/4/87,News,4fd165d68eb7c8105d653743
ACTIVE' LOUDSPEAKERS ARE ON THE HORIZON,Arts,[],733,"LEAD: Crossing over into a new year always triggers the prophetic urge, but forecasting is getting harder these days. It was a lot easier when everything was thought to be predestined. In our topsy-turvy times, there are few safe bets left, but at...",The New York Times,"[u'RECORDING EQUIPMENT', u'NEW MODELS, DESIGN AND PRODUCTS']",http://www.nytimes.com/1987/01/04/arts/sound-active-loudspeakers-are-on-the-horizon.html,1/4/87,Review,4fd1616d8eb7c8105d64bf92
NO END IN SIGHT FOR ANNUAL HARVESTS OF DEBT,Week in Review,[u'UNITED STATES'],1464,"LEAD: ALTHOUGH he didn't need to campaign to keep his job last year, Senator Tom Harkin stumped as hard as he had in every national election since his first race for Congress in 1972. What he wanted was new support for his own approach to farm pro...",The New York Times,"[u'AGRICULTURE', u'FARMERS', u'CROP CONTROLS AND SUBSIDIES', u'FINANCES', u'FEDERAL AID (US)', u'BUDGETS AND BUDGETING']",http://www.nytimes.com/1987/01/04/weekinreview/no-end-in-sight-for-annual-harvests-of-debt.html,1/4/87,News,4fd179bf8eb7c8105d6716bf
Offering Property At Fire-Sale Prices,Business,[],589,LEAD: THE outlook for the economy in 1987 looks all-too-familiar: another sluggish year with worries about too much debt and too little growth to drive the unemployment rate much below today's 6.9 percent....,The New York Times,"[u'INDUSTRY PROFILES', u'FORECASTS', u'REAL ESTATE']",http://www.nytimes.com/1987/01/04/business/how-industries-will-fare-in-1987-offering-property-at-fire-sale-prices.html,1/4/87,News,4fd179bf8eb7c8105d6716dd
Rural America's Absentee Landlords,Business,[],523,LEAD: THE outlook for the economy in 1987 looks all-too-familiar: another sluggish year with worries about too much debt and too little growth to drive the unemployment rate much below today's 6.9 percent....,The New York Times,"[u'AGRICULTURE', u'INDUSTRY PROFILES', u'FORECASTS']",http://www.nytimes.com/1987/01/04/business/how-industries-will-fare-in-1987-rural-america-s-absentee-landlords.html,1/4/87,News,4fd165d68eb7c8105d653747
Steel's Strength Depends on a Shutdown,Business,[],476,LEAD: THE outlook for the economy in 1987 looks all-too-familiar: another sluggish year with worries about too much debt and too little growth to drive the unemployment rate much below today's 6.9 percent....,The New York Times,"[u'INDUSTRY PROFILES', u'STEEL AND IRON', u'FORECASTS']",http://www.nytimes.com/1987/01/04/business/how-industries-will-fare-in-1987-steel-s-strength-depends-on-a-shutdown.html,1/4/87,News,4fd166d88eb7c8105d6551ac
