headline,section,locations,word_count,snippet,source,subjects,url,date,type,id
China Celebrates 10 Years Along the Capitalist Road,Week in Review,"[u""CHINA, PEOPLE'S REPUBLIC OF""]",1118,"LEAD: THE winter air was filled with rumors and anticipation in December 1978, as Communist Party leaders from across China gathered in the capital for a showdown. Yet almost no one could have imagined that this meeting would give birth to the swe...",The New York Times,"[u'POLITICS AND GOVERNMENT', u'STOCKS AND BONDS', u'ECONOMIC CONDITIONS AND TRENDS', u'FOREIGN INVESTMENT']",http://www.nytimes.com/1989/01/01/weekinreview/the-world-china-celebrates-10-years-along-the-capitalist-road.html,1/1/89,News,4fd17e258eb7c8105d678c52
"For Grim Soviet Consumers, The New Year of Discontent",World,[],1076,"LEAD: The Soviet Union is facing the brightest holiday on its calendar in the grimmest mood anyone can remember, primarily because of food and consumer-goods shortages that seem to grow more acute by the day....",The New York Times,[u'TERMS NOT AVAILABLE'],http://www.nytimes.com/1989/01/01/world/for-grim-soviet-consumers-the-new-year-of-discontent.html,1/1/89,News,4fd187b58eb7c8105d6879d5
Business Leaders See Continued Growth,New York and Region,[u'WESTCHESTER COUNTY (NY)'],1751,"LEAD: WHAT do Westchester business leaders see in store for the New Year? In contrast to the national uncertainty about the strength of the economy, Westchester observers are anticipating that this year the local business climate will favor econom...",The New York Times,[u'SMALL BUSINESS'],http://www.nytimes.com/1989/01/01/nyregion/business-leaders-see-continued-growth.html,1/1/89,News,4fd1923e8eb7c8105d69b413
Financiers Sense an Opportunity In the Savings Industry's Distress,U.S.,[],2216,"LEAD: Many of the nation's most troubled savings institutions are being rescued these days by many of the nation's savviest and most aggressive financiers, corporate executives and takeover experts....",The New York Times,[u'TERMS NOT AVAILABLE'],http://www.nytimes.com/1989/01/01/us/financiers-sense-an-opportunity-in-the-savings-industry-s-distress.html,1/1/89,News,4fd1a1c58eb7c8105d6b7b93
Japan Slips in Smokestack America,Business,"[u'JAPAN', u'UNITED STATES']",2357,"LEAD: Prospects for reviving the beleaguered National Steel Corporation seemed bright in 1984, when the Nippon Kokan K.K. Corporation acquired a 50 percent interest in the nation's sixth-largest steel producer. With deep pockets and technical prow...",The New York Times,"[u'COMPANY AND ORGANIZATION PROFILES', u'FINANCES', u'STEEL AND IRON']",http://www.nytimes.com/1989/01/01/business/japan-slips-in-smokestack-america.html,1/1/89,News,4fd1923e8eb7c8105d69b410
"Pondering Profits, Problems and the Future",Business,[],1642,"LEAD: As the new year begins, many of the old economic troubles remain - the budget and trade deficits, for instance. In addition, both the leading economic indicators and home sales are sharply down. Business Forum editor Joel Kurtzman talked to ...",The New York Times,"[u'UNITED STATES ECONOMY', u'FORECASTS']",http://www.nytimes.com/1989/01/01/business/business-forum-look-year-ahead-pondering-profits-problems-future.html,1/1/89,Text,4fd187b58eb7c8105d6879d1
Foreign Stock Gains Outpaced U.S. in 1988,Business,[],1810,"LEAD: The Bund and the Bourse. Tokyo and Madrid. Rome and Oslo. They are nowhere near Wall Street. But they are where Americans should be buying many of their stocks, a growing number of analysts say....",The New York Times,[u'TERMS NOT AVAILABLE'],http://www.nytimes.com/1989/01/02/business/international-report-foreign-stock-gains-outpaced-us-in-1988.html,1/2/89,News,4fd187ac8eb7c8105d6874b3
Airline Profits Seen Surging To Post-Regulation Record,Business,[],911,"LEAD: On the strength of higher air fares and modest growth in traffic, airline profits in the United States are soaring to their highest level since the industry was deregulated 10 years ago....",Reuters,[u'TERMS NOT AVAILABLE'],http://www.nytimes.com/1989/01/02/business/airline-profits-seen-surging-to-post-regulation-record.html,1/2/89,News,4fd199e78eb7c8105d6aa510
Debt-Equity Swaps Draw Latin Criticisms,Business,[],1340,"LEAD: As the incoming Bush administration prepares to take its promised new look at Latin America's foreign debt crisis, the one well-tried method of reducing the region's payments - through conversion of debt into equity - is coming under fire in...",The New York Times,[u'TERMS NOT AVAILABLE'],http://www.nytimes.com/1989/01/02/business/debt-equity-swaps-draw-latin-criticisms.html,1/2/89,News,4fd17da88eb7c8105d677a59
Tariffs Lifted By Venezuela,Business,[],255,"LEAD: Venezuela on Friday sharply increased the import tariffs on about 500 consumer goods, including liquor and electronic items, to curb imports and stem a drain of foreign reserves....",Reuters,[u'TERMS NOT AVAILABLE'],http://www.nytimes.com/1989/01/02/business/tariffs-lifted-by-venezuela.html,1/2/89,News,4fd1884e8eb7c8105d688743
BUSINESS DIGEST,Business,[],710,"LEAD:  THE ECONOMY  The economy grew in December at the highest rate in five months, partly because of a surge in export orders, according to the monthly report of purchasing managers. Production, new orders and export orders all surged. [ Page D1...",The New York Times,[],http://www.nytimes.com/1989/01/03/business/business-digest-370089.html,1/3/89,Summary,4fd17dac8eb7c8105d677d65
NEWS SUMMARY,New York and Region,[],830,LEAD:  International A2-11...,The New York Times,[],http://www.nytimes.com/1989/01/03/nyregion/news-summary-371289.html,1/3/89,Summary,4fd1a1c48eb7c8105d6b7ad3
Economy's Captain Picks a Crucial Battle And Has Some Luck,Business,[],375,"LEAD: Alan Greenspan, chairman of the Federal Reserve Board, emerged in 1988 as the interim captain of the American economy....",The New York Times,[u'UNITED STATES ECONOMY'],http://www.nytimes.com/1989/01/03/business/men-behind-biggest-stories-wall-street-washington-alan-greenspan-federal-reserve.html,1/3/89,News,4fd1a1c48eb7c8105d6b7ae2
"Ghana, Once 'Hopeless,' Gets At Least the Look of Success",World; Front Page,[u'GHANA'],1574,"LEAD: More than five years ago, when the World Bank decided to make the state-dominated economy here a model for free-market innovations in Africa, Ghana was in the grip of stagnation. Since then, Ghana has boasted Africa's highest consistent grow...",The New York Times,"[u'REFORM AND REORGANIZATION', u'ECONOMIC CONDITIONS AND TRENDS', u'FOREIGN AID']",http://www.nytimes.com/1989/01/03/world/ghana-once-hopeless-gets-at-least-the-look-of-success.html,1/3/89,News,4fd187b38eb7c8105d68791a
China's Big Lurch Backward Theory Is Now Seen as Study in Pragmatism,World,"[u""CHINA, PEOPLE'S REPUBLIC OF""]",1208,"LEAD: Despite China's steps in recent months to restore central planning in some areas of its economy, there are growing signs that the country remains committed to developing more of a market economy....",The New York Times,"[u'REFORM AND REORGANIZATION', u'WAGE AND PRICE CONTROLS', u'ECONOMIC CONDITIONS AND TRENDS']",http://www.nytimes.com/1989/01/03/world/china-s-big-lurch-backward-theory-is-now-seen-as-study-in-pragmatism.html,1/3/89,News,4fd17dac8eb7c8105d677d62
When Dividends Are Bad News,Business,[],885,"LEAD: AMERICAN corporations are raising the dividends they pay to shareholders. Paradoxically, this may indicate that now is not a good time to buy stocks....",The New York Times,"[u'DIVIDENDS', u'INVESTMENT STRATEGIES', u'STOCKS AND BONDS']",http://www.nytimes.com/1989/01/04/business/market-place-when-dividends-are-bad-news.html,1/4/89,News,4fd192388eb7c8105d69aeb1
2 Studies Show Big Drops In U.S. Share of Electronics,Business,"[u'JAPAN', u'UNITED STATES']",579,"LEAD: Two recent studies conducted by Japanese and European organizations show that the United States' share of the world's electronics production has dropped far more dramatically than previously estimated, a United States trade group said today....",The New York Times,"[u'INTERNATIONAL TRADE AND WORLD MARKET', u'ELECTRONICS', u'PRODUCTION']",http://www.nytimes.com/1989/01/05/business/2-studies-show-big-drops-in-us-share-of-electronics.html,1/5/89,News,4fd180bf8eb7c8105d67c966
BUSINESS DIGEST,Business,[],622,LEAD:  INTERNATIONAL  A high-speed European rail network that would sharply cut travel times is in the works. [ Page A1. ] THE ECONOMY  The F.D.I.C. wants new powers to increase premiums on banks and to rein in high-risk lending. [ A1. ] President...,The New York Times,[],http://www.nytimes.com/1989/01/05/business/business-digest-929389.html,1/5/89,Summary,4fd1923a8eb7c8105d69b014
Rates Steady in Quiet Trading,Business,[],612,"LEAD: The prices of Treasury notes and bonds were little changed in lackluster, apathetic trading yesterday....",The New York Times,"[u'CREDIT', u'BOND PRICES AND TRADING VOLUME', u'STOCKS AND BONDS', u'GOVERNMENT BONDS']",http://www.nytimes.com/1989/01/05/business/credit-markets-rates-steady-in-quiet-trading.html,1/5/89,News,4fd199e98eb7c8105d6aa5fb
West Germans Try to Curb Dollar's Rally,Business,"[u'WEST GERMANY', u'UNITED STATES']",683,"LEAD: The West German central bank intervened against a surging dollar yesterday, indicating its increasing displeasure with the dollar's growing strength....",The New York Times,"[u'INTERNATIONAL MONETARY SYSTEM', u'CURRENCY']",http://www.nytimes.com/1989/01/06/business/currency-markets-west-germans-try-to-curb-dollar-s-rally.html,1/6/89,News,4fd180b98eb7c8105d67c493
Dow Climbs To Highest Since Crash,Business,[u'UNITED STATES'],552,"LEAD: Stocks rose broadly in heavier trading yesterday, lifting the Dow Jones industrial average to the highest close since the October 1987 crash....",The New York Times,"[u'STOCKS AND BONDS', u'DOW JONES STOCK AVERAGE', u'STOCK PRICES AND TRADING VOLUME']",http://www.nytimes.com/1989/01/06/business/dow-climbs-to-highest-since-crash.html,1/6/89,News,4fd180b98eb7c8105d67c49d
BUSINESS DIGEST,Business,[],583,LEAD:  The Economy...,The New York Times,[],http://www.nytimes.com/1989/01/06/business/business-digest-237289.html,1/6/89,Summary,4fd199e28eb7c8105d6aa17b
Economic Scene; Recession in '89? Majority Doubt It,Business,[],941,LEAD: WHAT lies ahead for the economy in 1989?...,The New York Times,"[u'RECESSION AND DEPRESSION', u'UNITED STATES ECONOMY', u'FORECASTS']",http://www.nytimes.com/1989/01/06/business/economic-scene-recession-in-89-majority-doubt-it.html,1/6/89,News,4fd187a68eb7c8105d6871c0
