headline,section,locations,word_count,snippet,source,subjects,url,date,type,id
BUSINESS DIGEST,Business,[],666,"FRIDAY, JANUARY 1, 1982 Companies   A.T.& T. and the Justice Department are again seeking an out-ofcourt settlement of the Government's eight-year antitrust suit against the company. In a unexpected statement, the department and Bell said new talk...",The New York Times,"[u'NO INDEX TERMS', u'001-21-53']",http://www.nytimes.com/1982/01/01/business/business-digest-157067.html,1/1/82,Summary,4fd11e328eb7c8105d5dcc3e
STOCKS BUFFETED WORLDWIDE,Business,"[u'JAPAN', u'GREAT BRITAIN', u'CANADA', u'WEST GERMANY', u'FRANCE', u'SOUTH AFRICA, REPUBLIC OF', u'SWITZERLAND']",1377,"The world's major stock markets, battered by high interest rates and recession, found it rough going last year. Although three foreign exchanges managed to shrug off any blows and finish higher, three others ended 1981 sharply lower while one rema...",The New York Times,"[u'UNITED STATES ECONOMY', u'PRICES', u'INTEREST (MONEY)', u'001-21-54', u'ECONOMIC CONDITIONS AND TRENDS', u'STOCKS AND BONDS', u'STOCK PRICES AND TRADING VOLUME']",http://www.nytimes.com/1982/01/01/business/stocks-buffeted-worldwide.html,1/1/82,News,4fd134bd8eb7c8105d6051ba
STAGNATION IS FORECAST FOR STEEL,Business,[],1176,"The steel industry is facing an uphill struggle in the new year.  Some analysts believe that steel shipments, already faltering, may decline in 1982 and provoke new layoffs, a sampling of industry opinion shows.   Shipments of domestically made st...",The New York Times,"[u'002-21-16', u'INTERNATIONAL TRADE AND WORLD MARKET', u'STEEL AND IRON', u'INDUSTRY PROFILES', u'FORECASTS', u'PRODUCTION']",http://www.nytimes.com/1982/01/02/business/stagnation-is-forecast-for-steel.html,1/2/82,News,4fd11e378eb7c8105d5dd197
Julia Vitullo-Martin,Opinion,[],828,"Despite som e triumphs, one ongoing defeat particularly rankles the Reagan Admini stration's economists: the loud vote of no-confidence that comes re curringly from the bond markets.   Long-term financing built this country, and fueled its economy...",The New York Times,"[u'UNITED STATES ECONOMY', u'002-20-67', u'GOVERNMENT BONDS']",http://www.nytimes.com/1982/01/02/opinion/first-things-first-save-the-bond-market-julia-vitullo-martin.html,1/2/82,Op-Ed,4fd134c28eb7c8105d6055f1
"Business Digest; SATURDAY, JANUARY 2, 1982; The Economy",Business,[],400,"Major airlines are planning to increase fares for coach and firstclass seats on many of their routes by as much as $10. Florida and California routes, the focus of rate wars, would be excluded from the increases. Even Delta, which has blocked seve...",The New York Times,"[u'NO INDEX TERMS', u'002-21-11']",http://www.nytimes.com/1982/01/02/business/business-digest-saturday-january-2-1982-the-economy.html,1/2/82,Summary,4fd11e388eb7c8105d5dd1a2
REAGAN'S POLICIES ASSAILED BY YOUNG,U.S.; Washington,"[u'GEORGIA', u'ATLANTA (GA)']",626,"Andrew Young, the former chief American delegate to the United Nations, says that the foreign and domestic policies of the Reagan Administration are ''clear failures'' and that President Reagan will have to be ''turned around or turned out.''   Mr...",The New York Times,"[u'MAYORS', u'UNITED STATES POLITICS AND GOVERNMENT', u'POLITICS AND GOVERNMENT', u'003-20-40']",http://www.nytimes.com/1982/01/03/us/reagan-s-policies-assailed-by-young.html,1/3/82,News,4fd1203d8eb7c8105d5e07fc
CALIFORNIA'S POOR FACE UPHILL FIGHTS,Health; U.S.,[u'CALIFORNIA'],894,"Larry Garrett is black and newly unemployed, the breadwinner for a family that includes two small daughters. Elsie Marshall is white and on Social Security; she and her husband are too old now to earn an income.   Like hundreds of other California...",The New York Times,"[u'DIET AND NUTRITION', u'003-20-57', u'HOUSING', u'WELFARE (US)', u'SOCIAL SECURITY (US)', u'AGED', u'ECONOMIC CONDITIONS AND TRENDS']",http://www.nytimes.com/1982/01/03/us/california-s-poor-face-uphill-fights.html,1/3/82,News,4fd1203d8eb7c8105d5e07f4
THE UNIVERSE OF MONEY,Arts; Books,[],1391,THE MONEY LENDERS Bankers and a World in Turmoil.  By Anthony Sampson.  336 pp. New York: The Viking Press. $16.95.   THE ostensible subject of Anthony Sampson's excellent exercise in the higher journalism is the assortment of bankers - particular...,The New York Times,"[u'BOOKS AND LITERATURE', u'BANKS AND BANKING']",http://www.nytimes.com/1982/01/03/books/the-universe-of-money.html,1/3/82,Review,4fd11a028eb7c8105d5d3ade
"IF INEQUALITY IS INEVITABLE, WHAT CAN BE DONE ABOUT IT?",Week in Review,[],3934,"'E QUALITY'' has been an historic American ideal, but the means of its achievement are a matter of perennial debate. The Reagan Administration's attempts to reduce sharply various ''Great Society'' social programs and the role of the Federal Gove...",The New York Times,"[u'SOCIAL CONDITIONS AND TRENDS', u'003-22-44', u'UNITED STATES ECONOMY', u'WELFARE (US)']",http://www.nytimes.com/1982/01/03/weekinreview/if-inequality-is-inevitable-what-can-be-done-about-it.html,1/3/82,Interview,4fd133598eb7c8105d60286b
SCHMIDT VOICING GREATER CONCERN OVER ECONOMY THAN OVER POLAND,World,"[u'WEST GERMANY', u'UNION OF SOVIET SOCIALIST REPUBLICS', u'POLAND']",1306,Chancellor Helmut Schmidt of West Germany is ap parently more concerned that the world could drift into an economic d epression than into war over Poland or the Middle East.   In an interview here Friday and today in which he took a cautious view ...,The New York Times,"[u'ARMAMENT, DEFENSE AND MILITARY FORCES', u'INTERNATIONAL RELATIONS', u'INTERNATIONAL TRADE AND WORLD MARKET', u'003-20-05', u'POLITICS AND GOVERNMENT', u'UNITED STATE INTERNATIONAL RELATIONS']",http://www.nytimes.com/1982/01/03/world/schmidt-voicing-greater-concern-over-economy-than-over-poland.html,1/3/82,News,4fd134bc8eb7c8105d60510d
