headline,section,locations,word_count,snippet,source,subjects,url,date,type,id
Business Digest,Business,[],560,"The Global Lab    U.S. companies are spreading their research and product development around the world, helping to turn the creation of technology into an activity that transcends national borders. The trend raises tough new issues for policy make...",The New York Times,[u'NO INDEX TERMS'],http://www.nytimes.com/1992/01/01/business/business-digest-399592.html,1/1/92,Summary,4fd1a8ba8eb7c8105d6c4eba
"Bush, in Australia, Under Fire on Trade",World; Washington,"[u'AUSTRALIA', u'FAR EAST, SOUTH AND SOUTHEAST ASIA AND PACIFIC AREAS']",818,"President Bush opened a 12-day crusade today to increase American exports in the Western Pacific, picking as his first stop a country that, like his own, is mired in recession, running a 2-to-1 deficit with a major trading partner, and angry about...",The New York Times,"[u'LIVESTOCK', u'UNITED STATES INTERNATIONAL RELATIONS', u'INTERNATIONAL TRADE AND WORLD MARKET', u'BALANCE OF PAYMENTS AND TRADE', u'PROTECTIONISM (TRADE)', u'MEAT', u'ECONOMIC CONDITIONS AND TRENDS', u'GRAIN', u'TRAVEL, PERSONAL', u'AUSTRALIA-INTERNATIONAL RELATIONS-US']",http://www.nytimes.com/1992/01/01/world/bush-in-australia-under-fire-on-trade.html,1/1/92,News,4fd1abc28eb7c8105d6caa3a
"Tsongas Pitches Economic Austerity, Mixed With Patriotism",U.S.,[u'NEW HAMPSHIRE'],2218,"Anyone looking for a slick political campaign won't find it on the hustings with Paul E. Tsongas.   Mr. Tsongas, a former Senator and Representative from Massachusetts, runs a dogged, bottom-up campaign that works voter to voter, town to town, and...",The New York Times,"[u'SURVEYS AND SERIES', u'UNITED STATES ECONOMY', u'GREEK-AMERICANS', u'ELECTION ISSUES', u'BIOGRAPHICAL INFORMATION', u'PRIMARIES', u'PRESIDENTIAL ELECTION OF 1992']",http://www.nytimes.com/1992/01/01/us/tsongas-pitches-economic-austerity-mixed-with-patriotism.html,1/1/92,Series; Biography,4fd1b0ef8eb7c8105d6d2bc0
NEWS SUMMARY,New York and Region,[],893,International 2-7  ACCORD ENDS El SALVADOR STRIFE     The Government of El Salvador and the leftist guerrillas who have fought to overthrow it for more than a decade announced in the first minutes of the new year a comprehensive plan to end their ...,The New York Times,[u'NO INDEX TERMS'],http://www.nytimes.com/1992/01/01/nyregion/news-summary-326092.html,1/1/92,Summary,4fd1abc28eb7c8105d6caa39
Essay; No 'Horror Show',Opinion,[u'COMMONWEALTH OF INDEPENDENT STATES'],707,"Put yourself in the shoes of an assignment editor for any of the news media today, as shoppers in Russia return to stores closed for the New Year's holiday.   You dispatch reporters to cover an inflationary horror show. What Gorbachev had long fli...",The New York Times,"[u'JOINT VENTURES AND CONSORTIUMS', u'UNITED STATES INTERNATIONAL RELATIONS', u'REFORM AND REORGANIZATION', u'ECONOMIC CONDITIONS AND TRENDS']",http://www.nytimes.com/1992/01/02/opinion/essay-no-horror-show.html,1/2/92,Op-Ed,4fd1b0f08eb7c8105d6d2c65
Italians Polish Their Wine Image,Business,"[u'ITALY', u'UNITED STATES']",620,"SEEKING to increase ""share of mouth"" among American oenophiles, the Italian Trade Commission is beginning a multimillion-dollar campaign for fine Italian wines, its first in four years.   The advertising links Italy's premium wines with art, fashi...",The New York Times,"[u'INTERNATIONAL TRADE AND WORLD MARKET', u'WINES', u'ADVERTISING']",http://www.nytimes.com/1992/01/02/business/the-media-business-advertising-italians-polish-their-wine-image.html,1/2/92,News,4fd1ac188eb7c8105d6cb403
An Uncertain Outlook For Dollar's Rebound,Business,[],893,"As the new year begins, the dollar is falling, just like last year. But analysts are not soon expecting a sudden and sharp rebound of the sort that occurred at the beginning of 1991. In fact, some forecasts show the dollar falling to record lows a...",The New York Times,"[u'INTERNATIONAL MONETARY SYSTEM', u'CURRENCY', u'FORECASTS']",http://www.nytimes.com/1992/01/02/business/dissonant-messages-an-uncertain-outlook-for-dollar-s-rebound.html,1/2/92,News,4fd1cdcf8eb7c8105d7055c0
BUSINESS DIGEST,Business,[],510,"The Dissonant Messages of 1991    The stock market story of 1991 was one of prices that soared early in the year and again at the end, producing an excellent year for large stocks, and a phenomenal one for small stocks. But the economy barely limp...",The New York Times,[u'NO INDEX TERMS'],http://www.nytimes.com/1992/01/02/business/business-digest-328192.html,1/2/92,Summary,4fd1b0f08eb7c8105d6d2c69
DISSONANT MESSAGES: Market Place; Can the Rally Endure Without a Recovery?,Business,[],1437,"Rarely in the history of Wall Street has a year ended with such opposing messages coming from the stock market and the economy.   The stock market story of 1991 was one of prices that soared early in the year and again at the end, producing an exc...",The New York Times,"[u'FORECASTS', u'STOCKS AND BONDS', u'STOCK PRICES AND TRADING VOLUME']",http://www.nytimes.com/1992/01/02/business/dissonant-messages-market-place-can-the-rally-endure-without-a-recovery.html,1/2/92,News,4fd1abc28eb7c8105d6caaa6
NEWS SUMMARY,New York and Region,[],1004,"INTERNATIONAL A2-12 SALVADOR ACCORD: PEACE AT LAST?   The Salvadoran peace agreement reached at the U.N. will bring an almost immediate truce in the 12-year civil war, and by autumn, disbanding of the five rebel armies, Government and rebel offici...",The New York Times,[u'NO INDEX TERMS'],http://www.nytimes.com/1992/01/02/nyregion/news-summary-072592.html,1/2/92,Summary,4fd1d4958eb7c8105d7122d2
