headline,section,locations,word_count,snippet,source,subjects,url,date,type,id
Dow Ends Worst Year Since 1981,Business,[],864,"Wall Street gave investors the toughest time last year since 1981, final stock market figures showed yesterday.    Hotel, leisure and machine tool stocks were the worst performers, according to the Standard & Poor's Corporation. Health-care, soft ...",The New York Times,"[u'STOCKS AND BONDS', u'DOW JONES STOCK AVERAGE', u'STOCK PRICES AND TRADING VOLUME']",http://www.nytimes.com/1991/01/01/business/dow-ends-worst-year-since-1981.html,1/1/91,News,4fd19d7d8eb7c8105d6afda6
Economic Watch; Why Only a Few Big Airlines Prosper in a Deregulated Sky,Front Page; Business,[],2570,"Continental, Pan Am, T.W.A., Midway: The list of distressed airlines reduced to selling precious assets, courting merger partners or throwing themselves on the mercy of bankruptcy courts grows ever longer.   The run-up in oil prices just as the ec...",The New York Times,"[u'AIRLINES AND AIRPLANES', u'MERGERS, ACQUISITIONS AND DIVESTITURES', u'OIL (PETROLEUM) AND GASOLINE', u'INDUSTRY PROFILES', u'REGULATION AND DEREGULATION OF INDUSTRY', u'BANKRUPTCIES']",http://www.nytimes.com/1991/01/02/business/economic-watch-why-only-a-few-big-airlines-prosper-in-a-deregulated-sky.html,1/2/91,News,4fd19d278eb7c8105d6aeff7
BUSINESS DIGEST,Business,[],357,THE ECONOMY    Rhode Island's Governor ordered the immediate closing of 45 state-chartered banks and credit unions.  [ Page A1. ]   The list grows ever longer of distressed airlines reduced to selling precious assets or courting merger partners.  ...,The New York Times,[u'NO INDEX TERMS'],http://www.nytimes.com/1991/01/02/business/business-digest-220091.html,1/2/91,Summary,4fd1a7588eb7c8105d6c21d0
Wall Street Paring Down To the Basics,Business,[u'WALL STREET (NYC)'],1469,"Wall Street's painful shift from the takeover era to the hangover era is not over, but the securities industry last year finally started making the tough choices to transform itself into a smaller and healthier industry.    The change under way go...",The New York Times,"[u'WAGES AND SALARIES', u'LAYOFFS (LABOR)', u'INDUSTRY PROFILES', u'STOCKS AND BONDS', u'BROKERS AND BROKERAGE FIRMS', u'BONUSES']",http://www.nytimes.com/1991/01/02/business/troubled-times-wall-street-bear-wanders-industry-remakes-itself-wall-street.html,1/2/91,News,4fd1a7a68eb7c8105d6c2949
Dollar Opens '91 With Drop; War Fears Limit the Loss,Business,[u'UNITED STATES'],424,"Grim economic news sent the dollar stumbling yesterday, but traders said that concerns about war in the Persian Gulf helped to minimize the drop.   Currency trading in the year's first session was unexpectedly light, apparently because of a hesita...",AP,"[u'INTERNATIONAL MONETARY SYSTEM', u'PRICES', u'CURRENCY']",http://www.nytimes.com/1991/01/03/business/currency-markets-dollar-opens-91-with-drop-war-fears-limit-the-loss.html,1/3/91,News,4fd197ea8eb7c8105d6a69c0
Stocks Retreat Broadly As Dow Falls by 23.02,Business,[],586,"Stocks sagged broadly yesterday on the first trading session of the new year, despite a jump in bond prices, a big decline in crude oil prices and widespread feeling that the Fed will continue to cut interest rates.    Oil prices slumped $1.95 a b...",The New York Times,"[u'STOCKS AND BONDS', u'DOW JONES STOCK AVERAGE', u'STOCK PRICES AND TRADING VOLUME']",http://www.nytimes.com/1991/01/03/business/stocks-retreat-broadly-as-dow-falls-by-23.02.html,1/3/91,News,4fd197ea8eb7c8105d6a69b5
BUSINESS DIGEST,Business,[],591,"The Economy    In Rhode Island, there was anger and frustration at the closing of 45 credit unions, banks and investment companies. The Governor said 7 would reopen on Monday.  [ Page A1. ]   More than 1,400 credit unions with $18.6 billion of dep...",The New York Times,[u'NO INDEX TERMS'],http://www.nytimes.com/1991/01/03/business/business-digest-213391.html,1/3/91,Summary,4fd1a7198eb7c8105d6c19ef
U.S. Chips' Gain Is Japan's Loss,Technology; Business,"[u'JAPAN', u'UNITED STATES']",1095,"For the first time in more than a decade, American semiconductor companies gained market share in 1990 at the expense of their Japanese competitors, a market research company reported today.    The figures, based on sales in dollars, suggest that ...",The New York Times,"[u'SEMICONDUCTORS', u'INTERNATIONAL TRADE AND WORLD MARKET', u'ELECTRONICS', u'DATA PROCESSING (COMPUTERS)']",http://www.nytimes.com/1991/01/03/business/us-chips-gain-is-japan-s-loss.html,1/3/91,News,4fd1a7a88eb7c8105d6c2a30
Stocks Fall Again; Dow Drops 37.13,Business,[],716,"With the economy slumping and the deadline for Iraq to get out of Kuwait keeping investors on edge, the stock market headed sharply lower yesterday for the second consecutive day.    Drug stocks, usually unaffected by hard times, fell sharply afte...",The New York Times,"[u'STOCKS AND BONDS', u'DOW JONES STOCK AVERAGE', u'STOCK PRICES AND TRADING VOLUME']",http://www.nytimes.com/1991/01/04/business/stocks-fall-again-dow-drops-37.13.html,1/4/91,News,4fd1a7ab8eb7c8105d6c2ce4
Recession: Blaming Everyone But Bush,U.S.,[],713,The Bush Administration has now grudg ingly conceded that the economy is in recession. So who is responsible for the economic bad times? Herewith the Bush team's top 10 offenders:   10. European farmers. The talks on the General Agreement on Tarif...,The New York Times,"[u'RECESSION AND DEPRESSION', u'UNITED STATES ECONOMY']",http://www.nytimes.com/1991/01/04/us/washington-talk-recession-blaming-everyone-but-bush.html,1/4/91,News,4fd1b4c08eb7c8105d6d9df3
The Rich Legacy Of an Economist,Business,[],824,"JOSEPH J. SPENGLER, the eminent economist at Duke University who died this week in Durham, N.C., saw modern economic science as stemming from two roots -- one administrative, the other ethical.   As an economic historian, his great contribution wa...",The New York Times,[u'ECONOMICS'],http://www.nytimes.com/1991/01/04/business/economic-scene-the-rich-legacy-of-an-economist.html,1/4/91,News,4fd197ed8eb7c8105d6a6cb3
