headline,section,locations,word_count,snippet,source,subjects,url,date,type,id
Deciding Whether to Buy or Rent,Real Estate,[],935,"One analyst concludes itð_s a better deal to buy, so long as the property is held for several years; others note that such a decision isnð_t always based on finances....",The New York Times,"[u'Housing and Real Estate', u'Renting and Leasing']",http://www.nytimes.com/2011/01/02/realestate/02zone.html,1/1/11,News,5406016538f0d81983bde37c
"Long on Space, Water and Industry",Real Estate,[u'Sayreville (NJ)'],1513,"This middle-class borough on the Raritan Bay has much of its original midcentury housing stock; more recently, it has added town house and condo developments....",The New York Times,[u'Housing and Real Estate'],http://www.nytimes.com/2011/01/02/realestate/02living.html,1/2/11,News,5406015938f0d81983bde37b
Clouds Parted to a Forecast of Sunnier Days,Automobiles,[],1606,"For the automotive industry, 2010 played out like a reality show, with heroes and villains, surprising alliances, narrow escapes and thrilling reversals of fortune....",The New York Times,"[u'Automobiles', u'United States Economy', u'Economic Conditions and Trends']",http://www.nytimes.com/2011/01/02/automobiles/02WRAP2010.html,1/2/11,News,5406097738f0d81983bde43a
Jerry Garrettð_s Top 10 Cars of 2010,Automobiles,[],877,From a sleek European sedan to the last effort from an American brand....,The New York Times,[u'Automobiles'],http://www.nytimes.com/2011/01/02/automobiles/02GARRETT.html,1/2/11,List,5406096638f0d81983bde438
"Guilty Verdict for a Tycoon, and Russia",Business Day,[u'Russia'],1797,The Kremlinð_s continued prosecution of the Russian tycoon Mikhail B. Khodorkovsky is connected to the damaged investment climate in the country....,The New York Times,"[u'Frauds and Swindling', u'Foreign Investments']",http://www.nytimes.com/2011/01/01/business/01nocera.html,1/2/11,News,54060bf938f0d81983bde47f
"When Innovation, Too, Is Made in China",Business Day,[u'China'],1026,A new Chinese government document offers a glimpse into how the nation intends to engineer a more innovative society....,The New York Times,"[u'Inventions and Patents', u'International Trade and World Market', u'Economic Conditions and Trends']",http://www.nytimes.com/2011/01/02/business/02unboxed.html,1/2/11,News,5406042238f0d81983bde3c0
"Prosperity, Real or Imagined",Business Day,[],962,"In &#8220;Inflated,&#8221; a new book, R. Christopher Whalen looks at history to try to understand the long-term viability of the American economy after the financial crisis....",The New York Times,"[u'Books and Literature', u'United States Economy', u'Economic Conditions and Trends', u'Inflation (Economics)']",http://www.nytimes.com/2011/01/02/business/02shelf.html,1/2/11,Review,5406044038f0d81983bde3c1
Inside the Times,New York and Region,[],1463,International     TOP TEHRAN PROSECUTOR VOWS...,The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=980DE7DD1438F931A35752C0A9679D8B63,1/2/11,Summary,4fd28a278eb7c8105d85c054
Diplomats Help Push Sales of Jetliners on the Global Market,Business Day,[u'Europe'],1873,Sales campaigns for commercial jets on the global market often include politicking and cajoling at the highest levels of government....,The New York Times,"[u'United States International Relations', u'Classified Information and State Secrets', u'Airlines and Airplanes', u'Military Aircraft']",http://www.nytimes.com/2011/01/03/business/03wikileaks-boeing.html,1/3/11,News,5406126938f0d81983bde50b
Deep Hole Economics,Opinion,[],823,"Thereð_s a danger in policy makersð_ overreacting to a few positive economic indicators. Itð_s jobs, not G.D.P. numbers, that matter to American families....",The New York Times,"[u'United States Economy', u'Unemployment', u'Labor and Jobs', u'Gross Domestic Product']",http://www.nytimes.com/2011/01/03/opinion/03krugman.html,1/3/11,Op-Ed,540615d238f0d81983bde550
