,positive,neutral,positive_standard,neutral_standard
0,41.896826848,53.5911174609,0.5237103356,0.669888968261
1,34.1370006431,42.4444951615,0.517227282471,0.643098411539
2,27.2902091532,37.9756319579,0.505374243577,0.703252443666
3,38.2547551997,43.0200750272,0.53879936901,0.605916549679
4,39.9855183354,51.6480558639,0.533140244472,0.688640744852
5,44.2204241095,54.9364601138,0.526433620352,0.654005477546
6,37.5061901076,45.9613356577,0.528256198699,0.647342755743
7,57.1544236663,71.0496023476,0.519585669694,0.645905475887
8,50.8291495258,62.9283927306,0.513425752785,0.635640330612
9,40.566229177,48.6170224263,0.520079861244,0.623295159312
10,60.9982138135,76.1600927634,0.504117469533,0.629422254243
11,47.8442910808,57.4307775326,0.520046642183,0.624247581877
